Variable,Protein,Protein_meaning,Protein_panel
cd1c,CD1C,T-cell surface glycoprotein CD1c,Oncology
cd2,CD2,T-cell surface antigen CD2,Cardiometabolic_II
cd200,CD200,OX-2 membrane glycoprotein,Inflammation
cd200r1,CD200R1,Cell surface glycoprotein CD200 receptor 1,Inflammation
cd207,CD207,C-type lectin domain family 4 member K,Oncology
cd209,CD209,CD209 antigen,Cardiometabolic
cd22,CD22,B-cell receptor CD22,Inflammation
cd226,CD226,CD226 antigen,Inflammation_II
cd244,CD244,Natural killer cell receptor 2B4,Inflammation
cd248,CD248,Endosialin,Cardiometabolic_II
cd27,CD27,CD27 antigen,Oncology
cd274,CD274,Programmed cell death 1 ligand 1,Neurology
cd276,CD276,CD276 antigen,Inflammation
cd28,CD28,T-cell-specific surface glycoprotein CD28,Oncology
cd2ap,CD2AP,CD2-associated protein,Cardiometabolic
cd300a,CD300A,CMRF35-like molecule 8,Inflammation_II
cd300c,CD300C,CMRF35-like molecule 6,Neurology
cd300e,CD300E,CMRF35-like molecule 2,Oncology
cd300lf,CD300LF,CMRF35-like molecule 1,Oncology
cd300lg,CD300LG,CMRF35-like molecule 9,Neurology
cd302,CD302,CD302 antigen,Oncology
cd33,CD33,Myeloid cell surface antigen CD33,Oncology
cd34,CD34,Hematopoietic progenitor cell antigen CD34,Neurology
cd36,CD36,Platelet glycoprotein 4,Inflammation_II
cd38,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Oncology
cd3d,CD3D,T-cell surface glycoprotein CD3 delta chain,Neurology_II
cd3e,CD3E,T-cell surface glycoprotein CD3 epsilon chain,Oncology_II
cd3g,CD3G,T-cell surface glycoprotein CD3 gamma chain,Inflammation_II
cd4,CD4,T-cell surface glycoprotein CD4,Inflammation
cd40,CD40,Tumor necrosis factor receptor superfamily member 5,Inflammation
cd40lg,CD40LG,CD40 ligand,Inflammation
cd46,CD46,Membrane cofactor protein,Cardiometabolic
cd48,CD48,CD48 antigen,Inflammation
cd5,CD5,T-cell surface glycoprotein CD5,Oncology
cd55,CD55,Complement decay-accelerating factor,Cardiometabolic
cd58,CD58,Lymphocyte function-associated antigen 3,Inflammation
cd59,CD59,CD59 glycoprotein,Cardiometabolic
cd5l,CD5L,CD5 antigen-like,Inflammation_II
cd6,CD6,T-cell differentiation antigen CD6,Inflammation
cd63,CD63,CD63 antigen,Neurology
cd69,CD69,Early activation antigen CD69,Cardiometabolic
cd7,CD7,T-cell antigen CD7,Inflammation_II
cd70,CD70,CD70 antigen,Inflammation
cd72,CD72,B-cell differentiation antigen CD72,Inflammation_II
cd74,CD74,HLA class II histocompatibility antigen gamma chain,Neurology
cd79b,CD79B,B-cell antigen receptor complex-associated protein beta chain,Inflammation
cd80,CD80,T-lymphocyte activation antigen CD80,Cardiometabolic_II
cd82,CD82,CD82 antigen,Oncology_II
cd83,CD83,CD83 antigen,Inflammation
cd84,CD84,SLAM family member 5,Inflammation
cd86,CD86,T-lymphocyte activation antigen CD86,Oncology_II
cd8a,CD8A,T-cell surface glycoprotein CD8 alpha chain,Neurology
cd93,CD93,Complement component C1q receptor,Cardiometabolic
cd99,CD99,CD99 antigen,Neurology
cd99l2,CD99L2,CD99 antigen-like protein 2,Neurology
cda,CDA,Cytidine deaminase,Cardiometabolic_II
cdan1,CDAN1,Codanin-1,Neurology_II
cdc123,CDC123,Cell division cycle protein 123 homolog,Oncology_II
cdc25a,CDC25A,M-phase inducer phosphatase 1,Oncology_II
cdc26,CDC26,Anaphase-promoting complex subunit CDC26,Oncology_II
cdc27,CDC27,Cell division cycle protein 27 homolog,Oncology
cdc37,CDC37,Hsp90 co-chaperone Cdc37,Oncology
cdc42bpb,CDC42BPB,Serine/threonine-protein kinase MRCK beta,Oncology_II
cdcp1,CDCP1,CUB domain-containing protein 1,Neurology
cdh1,CDH1,Cadherin-1,Cardiometabolic
cdh15,CDH15,Cadherin-15,Neurology
cdh17,CDH17,Cadherin-17,Cardiometabolic
cdh2,CDH2,Cadherin-2,Cardiometabolic
cdh22,CDH22,Cadherin-22,Oncology_II
cdh23,CDH23,Cadherin-23,Neurology_II
cdh3,CDH3,Cadherin-3,Neurology
cdh4,CDH4,Cadherin-4,Neurology_II
cdh5,CDH5,Cadherin-5,Cardiometabolic
cdh6,CDH6,Cadherin-6,Cardiometabolic
cdhr1,CDHR1,Cadherin-related family member 1,Neurology
cdhr2,CDHR2,Cadherin-related family member 2,Oncology
cdhr5,CDHR5,Cadherin-related family member 5,Cardiometabolic
cdk1,CDK1,Cyclin-dependent kinase 1,Oncology_II
cdk5rap3,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Neurology_II
cdkl5,CDKL5,Cyclin-dependent kinase-like 5,Neurology_II
cdkn1a,CDKN1A,Cyclin-dependent kinase inhibitor 1,Oncology
cdkn2d,CDKN2D,Cyclin-dependent kinase 4 inhibitor D,Oncology
cdnf,CDNF,Cerebral dopamine neurotrophic factor,Oncology
cdon,CDON,Cell adhesion molecule-related/down-regulated by oncogenes,Inflammation
cdsn,CDSN,Corneodesmosin,Inflammation
ceacam1,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Oncology
ceacam16,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,Oncology_II
ceacam18,CEACAM18,Carcinoembryonic antigen-related cell adhesion molecule 18,Oncology_II
ceacam19,CEACAM19,Carcinoembryonic antigen-related cell adhesion molecule 19,Oncology_II
ceacam20,CEACAM20,Carcinoembryonic antigen-related cell adhesion molecule 20,Oncology_II
ceacam21,CEACAM21,Carcinoembryonic antigen-related cell adhesion molecule 21,Inflammation
ceacam3,CEACAM3,Carcinoembryonic antigen-related cell adhesion molecule 3,Oncology
ceacam5,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,Oncology
ceacam6,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,Cardiometabolic_II
ceacam8,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,Cardiometabolic
cebpa,CEBPA,CCAAT/enhancer-binding protein alpha,Inflammation_II
cebpb,CEBPB,CCAAT/enhancer-binding protein beta,Cardiometabolic
cela2a,CELA2A,Chymotrypsin-like elastase family member 2A,Cardiometabolic_II
cela3a,CELA3A,Chymotrypsin-like elastase family member 3A,Cardiometabolic
celsr2,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,Inflammation_II
cemip2,CEMIP2,Cell surface hyaluronidase,Inflammation_II
cend1,CEND1,Cell cycle exit and neuronal differentiation protein 1,Neurology_II
cenpf,CENPF,Centromere protein F,Oncology_II
cenpj,CENPJ,Centromere protein J,Oncology_II
cep112,CEP112,Centrosomal protein of 112 kDa,Cardiometabolic_II
cep152,CEP152,Centrosomal protein of 152 kDa,Oncology_II
cep164,CEP164,Centrosomal protein of 164 kDa,Inflammation
cep170,CEP170,Centrosomal protein of 170 kDa,Cardiometabolic_II
cep20,CEP20,Centrosomal protein 20,Oncology
cep290,CEP290,Centrosomal protein of 290 kDa,Oncology_II
cep350,CEP350,Centrosome-associated protein 350,Oncology_II
cep43,CEP43,Centrosomal protein 43,Cardiometabolic
cep85,CEP85,Centrosomal protein of 85 kDa,Oncology
cert,CERT,Ceramide transfer protein,Neurology
ces1,CES1,Liver carboxylesterase 1,Cardiometabolic
ces2,CES2,Cocaine esterase,Oncology
ces3,CES3,Carboxylesterase 3,Oncology
cetn2,CETN2,Centrin-2,Neurology
cetn3,CETN3,Centrin-3,Oncology_II
cfb,CFB,Complement factor B,Inflammation_II
cfc1,CFC1,Cryptic protein,Oncology
cfd,CFD,Complement factor D,Inflammation_II
cfh,CFH,Complement factor H,Inflammation_II
cfhr2,CFHR2,Complement factor H-related protein 2,Inflammation_II
cfhr4,CFHR4,Complement factor H-related protein 4,Inflammation_II
cfhr5,CFHR5,Complement factor H-related protein 5,Inflammation_II
cfi,CFI,Complement factor I,Inflammation_II
cfp,CFP,Properdin,Inflammation_II
cga,CGA,Glycoprotein hormones alpha chain,Neurology
cgb3_cgb5_cgb8,CGB3_CGB5_CGB8,Choriogonadotropin subunit beta 3,Inflammation_II
cgn,CGN,Cingulin,Neurology_II
cgref1,CGREF1,Cell growth regulator with EF hand domain protein 1,Cardiometabolic
chac2,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,Oncology
chad,CHAD,Chondroadherin,Inflammation_II
chchd10,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",Neurology_II
chchd6,CHCHD6,MICOS complex subunit MIC25,Oncology_II
chek2,CHEK2,Serine/threonine-protein kinase Chk2,Cardiometabolic
chga,CHGA,Chromogranin-A,Cardiometabolic_II
chgb,CHGB,Secretogranin-1,Neurology
chi3l1,CHI3L1,Chitinase-3-like protein 1,Cardiometabolic
chit1,CHIT1,Chitotriosidase-1,Cardiometabolic
chl1,CHL1,Neural cell adhesion molecule L1-like protein,Cardiometabolic
chm,CHM,Rab proteins geranylgeranyltransferase component A 1,Neurology_II
chmp1a,CHMP1A,Charged multivesicular body protein 1a,Neurology
chmp6,CHMP6,Charged multivesicular body protein 6,Cardiometabolic_II
chp1,CHP1,Calcineurin B homologous protein 1,Neurology_II
chrdl1,CHRDL1,Chordin-like protein 1,Inflammation
chrdl2,CHRDL2,Chordin-like protein 2,Cardiometabolic
chrm1,CHRM1,Muscarinic acetylcholine receptor M1,Neurology_II
ciapin1,CIAPIN1,Anamorsin,Oncology
cilp,CILP,Cartilage intermediate layer protein 1,Cardiometabolic_II
cinp,CINP,Cyclin-dependent kinase 2-interacting protein,Oncology_II
cirbp,CIRBP,Cold-inducible RNA-binding protein,Oncology_II
cit,CIT,Citron Rho-interacting kinase,Neurology_II
ckap4,CKAP4,Cytoskeleton-associated protein 4,Inflammation
ckb,CKB,Creatine kinase B-type,Cardiometabolic_II
ckmt1a_ckmt1b,CKMT1A_CKMT1B,"Creatine kinase U-type, mitochondrial",Inflammation
clasp1,CLASP1,CLIP-associating protein 1,Oncology_II
clc,CLC,Galectin-10,Cardiometabolic
clec10a,CLEC10A,C-type lectin domain family 10 member A,Neurology
clec11a,CLEC11A,C-type lectin domain family 11 member A,Neurology
clec12a,CLEC12A,C-type lectin domain family 12 member A,Inflammation_II
clec14a,CLEC14A,C-type lectin domain family 14 member A,Neurology
clec1a,CLEC1A,C-type lectin domain family 1 member A,Cardiometabolic
clec1b,CLEC1B,C-type lectin domain family 1 member B,Neurology
clec2l,CLEC2L,C-type lectin domain family 2 member L,Neurology_II
clec3b,CLEC3B,Tetranectin,Inflammation_II
clec4a,CLEC4A,C-type lectin domain family 4 member A,Inflammation
clec4c,CLEC4C,C-type lectin domain family 4 member C,Inflammation
clec4d,CLEC4D,C-type lectin domain family 4 member D,Inflammation
clec4g,CLEC4G,C-type lectin domain family 4 member G,Inflammation
clec4m,CLEC4M,C-type lectin domain family 4 member M,Cardiometabolic_II
clec5a,CLEC5A,C-type lectin domain family 5 member A,Cardiometabolic
clec6a,CLEC6A,C-type lectin domain family 6 member A,Oncology
clec7a,CLEC7A,C-type lectin domain family 7 member A,Inflammation
clgn,CLGN,Calmegin,Neurology_II
clic5,CLIC5,Chloride intracellular channel protein 5,Neurology_II
clint1,CLINT1,Clathrin interactor 1,Oncology_II
clip2,CLIP2,CAP-Gly domain-containing linker protein 2,Inflammation
clmp,CLMP,CXADR-like membrane protein,Oncology
clns1a,CLNS1A,Methylosome subunit pICln,Neurology_II
clpp,CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Neurology
clps,CLPS,Colipase,Neurology
clspn,CLSPN,Claspin,Neurology
clstn1,CLSTN1,Calsyntenin-1,Neurology
clstn2,CLSTN2,Calsyntenin-2,Inflammation
clstn3,CLSTN3,Calsyntenin-3,Neurology_II
clta,CLTA,Clathrin light chain A,Cardiometabolic
clu,CLU,Clusterin,Inflammation_II
clul1,CLUL1,Clusterin-like protein 1,Cardiometabolic
cmc1,CMC1,COX assembly mitochondrial protein homolog,Cardiometabolic_II
cmip,CMIP,C-Maf-inducing protein,Oncology_II
cndp1,CNDP1,Beta-Ala-His dipeptidase,Cardiometabolic
cngb3,CNGB3,Cyclic nucleotide-gated cation channel beta-3,Neurology_II
cnp,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",Cardiometabolic_II
cnpy2,CNPY2,Protein canopy homolog 2,Cardiometabolic
cnpy4,CNPY4,Protein canopy homolog 4,Oncology
cnst,CNST,Consortin,Cardiometabolic
cntf,CNTF,Ciliary neurotrophic factor,Neurology_II
cntn1,CNTN1,Contactin-1,Cardiometabolic
cntn2,CNTN2,Contactin-2,Oncology
cntn3,CNTN3,Contactin-3,Neurology
cntn4,CNTN4,Contactin-4,Neurology
cntn5,CNTN5,Contactin-5,Neurology
cntnap2,CNTNAP2,Contactin-associated protein-like 2,Inflammation
cntnap4,CNTNAP4,Contactin-associated protein-like 4,Neurology_II
coch,COCH,Cochlin,Cardiometabolic_II
col15a1,COL15A1,Collagen alpha-1(XV) chain,Cardiometabolic_II
col18a1,COL18A1,Collagen alpha-1(XVIII) chain,Cardiometabolic
col1a1,COL1A1,Collagen alpha-1(I) chain,Cardiometabolic
col24a1,COL24A1,Collagen alpha-1(XXIV) chain,Oncology_II
col28a1,COL28A1,Collagen alpha-1(XXVIII) chain,Neurology_II
col2a1,COL2A1,Collagen alpha-1(II) chain,Cardiometabolic_II
col3a1,COL3A1,Collagen alpha-1(III) chain,Cardiometabolic_II
col4a1,COL4A1,Collagen alpha-1(IV) chain,Cardiometabolic
col4a4,COL4A4,Collagen alpha-4(IV) chain,Oncology_II
col5a1,COL5A1,Collagen alpha-1(V) chain,Inflammation_II
col6a3,COL6A3,Collagen alpha-3(VI) chain,Cardiometabolic
col9a1,COL9A1,Collagen alpha-1(IX) chain,Inflammation
col9a2,COL9A2,Collagen alpha-2(IX) chain,Oncology_II
colec12,COLEC12,Collectin-12,Inflammation
commd1,COMMD1,COMM domain-containing protein 1,Cardiometabolic_II
commd9,COMMD9,COMM domain-containing protein 9,Oncology_II
comp,COMP,Cartilage oligomeric matrix protein,Cardiometabolic
comt,COMT,Catechol O-methyltransferase,Cardiometabolic
copb2,COPB2,Coatomer subunit beta',Cardiometabolic_II
cope,COPE,Coatomer subunit epsilon,Neurology
coq7,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial",Cardiometabolic_II
coro1a,CORO1A,Coronin-1A,Cardiometabolic
coro6,CORO6,Coronin-6,Neurology_II
cox5b,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",Oncology
cox6b1,COX6B1,Cytochrome c oxidase subunit 6B1,Cardiometabolic_II
cpa1,CPA1,Carboxypeptidase A1,Cardiometabolic
cpa2,CPA2,Carboxypeptidase A2,Neurology
cpa4,CPA4,Carboxypeptidase A4,Inflammation_II
cpb1,CPB1,Carboxypeptidase B,Cardiometabolic
cpb2,CPB2,Carboxypeptidase B2,Inflammation_II
cpe,CPE,Carboxypeptidase E,Oncology
cplx2,CPLX2,Complexin-2,Oncology_II
cpm,CPM,Carboxypeptidase M,Neurology
cpox,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",Inflammation_II
cpped1,CPPED1,Serine/threonine-protein phosphatase CPPED1,Neurology
cpq,CPQ,Carboxypeptidase Q,Cardiometabolic_II
cptp,CPTP,Ceramide-1-phosphate transfer protein,Cardiometabolic_II
cpvl,CPVL,Probable serine carboxypeptidase CPVL,Oncology
cpxm1,CPXM1,Probable carboxypeptidase X1,Oncology
cpxm2,CPXM2,Inactive carboxypeptidase-like protein X2,Cardiometabolic_II
cr1,CR1,Complement receptor type 1,Inflammation_II
cr2,CR2,Complement receptor type 2,Cardiometabolic
cracr2a,CRACR2A,EF-hand calcium-binding domain-containing protein 4B,Oncology
cradd,CRADD,Death domain-containing protein CRADD,Neurology
creb3,CREB3,Cyclic AMP-responsive element-binding protein 3,Oncology_II
crebzf,CREBZF,CREB/ATF bZIP transcription factor,Oncology_II
creg1,CREG1,Protein CREG1,Oncology
creld1,CRELD1,Protein disulfide isomerase CRELD1,Inflammation_II
creld2,CRELD2,Protein disulfide isomerase CRELD2,Inflammation
crh,CRH,Corticoliberin,Oncology
crhbp,CRHBP,Corticotropin-releasing factor-binding protein,Inflammation
crhr1,CRHR1,Corticotropin-releasing factor receptor 1,Cardiometabolic
crim1,CRIM1,Cysteine-rich motor neuron 1 protein,Inflammation
crip2,CRIP2,Cysteine-rich protein 2,Neurology
crisp2,CRISP2,Cysteine-rich secretory protein 2,Oncology
crisp3,CRISP3,Cysteine-rich secretory protein 3,Inflammation_II
crkl,CRKL,Crk-like protein,Inflammation
crlf1,CRLF1,Cytokine receptor-like factor 1,Inflammation
crnn,CRNN,Cornulin,Oncology
crtac1,CRTAC1,Cartilage acidic protein 1,Cardiometabolic
crtam,CRTAM,Cytotoxic and regulatory T-cell molecule,Neurology
crtap,CRTAP,Cartilage-associated protein,Neurology_II
crx,CRX,Cone-rod homeobox protein,Cardiometabolic
crybb1,CRYBB1,Beta-crystallin B1,Cardiometabolic_II
crybb2,CRYBB2,Beta-crystallin B2,Neurology_II
crygd,CRYGD,Gamma-crystallin D,Neurology_II
crym,CRYM,Ketimine reductase mu-crystallin,Neurology_II
cryzl1,CRYZL1,Quinone oxidoreductase-like protein 1,Cardiometabolic_II
csde1,CSDE1,Cold shock domain-containing protein E1,Cardiometabolic_II
csf1,CSF1,Macrophage colony-stimulating factor 1,Inflammation
csf1r,CSF1R,Macrophage colony-stimulating factor 1 receptor,Inflammation_II
csf2,CSF2,Granulocyte-macrophage colony-stimulating factor,Cardiometabolic_II
csf2ra,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Neurology
csf2rb,CSF2RB,Cytokine receptor common subunit beta,Inflammation_II
csf3,CSF3,Granulocyte colony-stimulating factor,Inflammation
csf3r,CSF3R,Granulocyte colony-stimulating factor receptor,Inflammation_II
csh1,CSH1,Chorionic somatomammotropin hormone 1,Inflammation_II
csnk1d,CSNK1D,Casein kinase I isoform delta,Inflammation_II
csnk2a1,CSNK2A1,Casein kinase II subunit alpha,Neurology_II
cspg4,CSPG4,Chondroitin sulfate proteoglycan 4,Cardiometabolic_II
cspg5,CSPG5,Chondroitin sulfate proteoglycan 5,Neurology_II
csrp3,CSRP3,Cysteine and glycine-rich protein 3,Cardiometabolic_II
cst1,CST1,Cystatin-SN,Inflammation_II
cst3,CST3,Cystatin-C,Cardiometabolic
cst5,CST5,Cystatin-D,Neurology
cst6,CST6,Cystatin-M,Cardiometabolic
cst7,CST7,Cystatin-F,Inflammation
cstb,CSTB,Cystatin-B,Cardiometabolic
ctag1a_ctag1b,CTAG1A_CTAG1B,Cancer/testis antigen 1,Oncology_II
ctbs,CTBS,Di-N-acetylchitobiase,Inflammation_II
ctf1,CTF1,Cardiotrophin-1,Cardiometabolic
cthrc1,CTHRC1,Collagen triple helix repeat-containing protein 1,Cardiometabolic_II
ctla4,CTLA4,Cytotoxic T-lymphocyte protein 4,Cardiometabolic_II
ctnna1,CTNNA1,Catenin alpha-1,Neurology_II
ctrb1,CTRB1,Chymotrypsinogen B,Neurology
ctrc,CTRC,Chymotrypsin-C,Inflammation
ctrl,CTRL,Chymotrypsin-like protease CTRL-1,Neurology_II
ctsb,CTSB,Cathepsin B,Cardiometabolic
ctsc,CTSC,Dipeptidyl peptidase 1,Inflammation
ctsd,CTSD,Cathepsin D,Cardiometabolic
ctse,CTSE,Cathepsin E,Inflammation_II
ctsf,CTSF,Cathepsin F,Oncology
ctsh,CTSH,Pro-cathepsin H,Cardiometabolic
ctsl,CTSL,Cathepsin L1,Cardiometabolic
ctso,CTSO,Cathepsin O,Inflammation
ctss,CTSS,Cathepsin S,Neurology
ctsv,CTSV,Cathepsin L2,Oncology
ctsz,CTSZ,Cathepsin Z,Cardiometabolic
cuzd1,CUZD1,CUB and zona pellucida-like domain-containing protein 1,Neurology_II
cwc15,CWC15,Spliceosome-associated protein CWC15 homolog,Oncology_II
cx3cl1,CX3CL1,Fractalkine,Neurology
cxadr,CXADR,Coxsackievirus and adenovirus receptor,Inflammation
cxcl1,CXCL1,Growth-regulated alpha protein,Inflammation
cxcl10,CXCL10,C-X-C motif chemokine 10,Inflammation
cxcl11,CXCL11,C-X-C motif chemokine 11,Neurology
cxcl12,CXCL12,Stromal cell-derived factor 1,Inflammation
cxcl13,CXCL13,C-X-C motif chemokine 13,Neurology
cxcl14,CXCL14,C-X-C motif chemokine 14,Inflammation
cxcl16,CXCL16,C-X-C motif chemokine 16,Cardiometabolic
cxcl17,CXCL17,C-X-C motif chemokine 17,Inflammation
cxcl3,CXCL3,C-X-C motif chemokine 3,Inflammation
cxcl5,CXCL5,C-X-C motif chemokine 5,Cardiometabolic
cxcl6,CXCL6,C-X-C motif chemokine 6,Inflammation
cxcl8,CXCL8,Interleukin-8,Oncology
cxcl9,CXCL9,C-X-C motif chemokine 9,Inflammation
cyb5a,CYB5A,Cytochrome b5,Oncology_II
cyb5r2,CYB5R2,NADH-cytochrome b5 reductase 2,Oncology_II
cyp24a1,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Cardiometabolic_II
cyth3,CYTH3,Cytohesin-3,Oncology_II
cytl1,CYTL1,Cytokine-like protein 1,Cardiometabolic_II
daam1,DAAM1,Disheveled-associated activator of morphogenesis 1,Inflammation_II
dab2,DAB2,Disabled homolog 2,Oncology
dag1,DAG1,Dystroglycan,Inflammation
dand5,DAND5,DAN domain family member 5,Inflammation_II
dapk2,DAPK2,Death-associated protein kinase 2,Inflammation_II
dapp1,DAPP1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,Inflammation
dars1,DARS1,"Aspartate--tRNA ligase, cytoplasmic",Neurology
dbh,DBH,Dopamine beta-hydroxylase,Inflammation_II
dbi,DBI,Acyl-CoA-binding protein,Neurology
dbn1,DBN1,Drebrin,Inflammation_II
dbnl,DBNL,Drebrin-like protein,Inflammation
dcbld2,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",Oncology
dcc,DCC,Netrin receptor DCC,Neurology_II
dcdc2c,DCDC2C,Doublecortin domain-containing protein 2C,Oncology_II
dclre1c,DCLRE1C,Protein artemis,Oncology_II
dcn,DCN,Decorin,Cardiometabolic
dctd,DCTD,Deoxycytidylate deaminase,Inflammation_II
dctn1,DCTN1,Dynactin subunit 1,Oncology
dctn2,DCTN2,Dynactin subunit 2,Oncology
dctn6,DCTN6,Dynactin subunit 6,Neurology
dctpp1,DCTPP1,dCTP pyrophosphatase 1,Cardiometabolic
dcun1d1,DCUN1D1,DCN1-like protein 1,Neurology_II
dcun1d2,DCUN1D2,DCN1-like protein 2,Oncology_II
dcxr,DCXR,L-xylulose reductase,Oncology
dda1,DDA1,DET1- and DDB1-associated protein 1,Cardiometabolic_II
ddah1,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Oncology
ddc,DDC,Aromatic-L-amino-acid decarboxylase,Cardiometabolic
ddhd2,DDHD2,Phospholipase DDHD2,Neurology_II
ddi2,DDI2,Protein DDI1 homolog 2,Inflammation_II
ddr1,DDR1,Epithelial discoidin domain-containing receptor 1,Neurology
ddt,DDT,D-dopachrome decarboxylase,Cardiometabolic_II
ddx1,DDX1,ATP-dependent RNA helicase DDX1,Oncology_II
ddx25,DDX25,ATP-dependent RNA helicase DDX25,Neurology_II
ddx39a,DDX39A,ATP-dependent RNA helicase DDX39A,Inflammation_II
ddx4,DDX4,Probable ATP-dependent RNA helicase DDX4,Inflammation_II
ddx53,DDX53,Probable ATP-dependent RNA helicase DDX53,Neurology_II
ddx58,DDX58,Antiviral innate immune response receptor RIG-I,Oncology
decr1,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial",Inflammation
defa1_defa1b,DEFA1_DEFA1B,Neutrophil defensin 1,Cardiometabolic
defb103a_defb103b,DEFB103A_DEFB103B,Beta-defensin 103,Inflammation_II
defb104a_defb104b,DEFB104A_DEFB104B,Beta-defensin 104,Neurology_II
defb116,DEFB116,Beta-defensin 116,Neurology_II
defb118,DEFB118,Beta-defensin 118,Neurology_II
defb4a_defb4b,DEFB4A_DEFB4B,Beta-defensin 4A,Oncology
dennd2b,DENND2B,DENN domain-containing protein 2B,Cardiometabolic_II
denr,DENR,Density-regulated protein,Inflammation_II
dffa,DFFA,DNA fragmentation factor subunit alpha,Inflammation
dgcr6,DGCR6,Protein DGCR6,Neurology_II
dgka,DGKA,Diacylglycerol kinase alpha,Inflammation_II
dgkz,DGKZ,Diacylglycerol kinase zeta,Inflammation
dhodh,DHODH,Dihydroorotate dehydrogenase,Cardiometabolic_II
dhps,DHPS,Deoxyhypusine synthase,Oncology_II
dhrs4l2,DHRS4L2,Dehydrogenase/reductase SDR family member 4-like 2,Neurology_II
diablo,DIABLO,"Diablo homolog, mitochondrial",Cardiometabolic
dipk1c,DIPK1C,Divergent protein kinase domain 1C,Neurology_II
dipk2b,DIPK2B,Divergent protein kinase domain 2B,Inflammation_II
dkk1,DKK1,Dickkopf-related protein 1,Neurology
dkk3,DKK3,Dickkopf-related protein 3,Cardiometabolic
dkk4,DKK4,Dickkopf-related protein 4,Neurology
dkkl1,DKKL1,Dickkopf-like protein 1,Oncology
dlg4,DLG4,Disks large homolog 4,Neurology_II
dlgap5,DLGAP5,Disks large-associated protein 5,Neurology_II
dlk1,DLK1,Protein delta homolog 1,Cardiometabolic
dll1,DLL1,Delta-like protein 1,Oncology
dll4,DLL4,Delta-like protein 4,Cardiometabolic_II
dmd,DMD,Dystrophin,Cardiometabolic_II
dmp1,DMP1,Dentin matrix acidic phosphoprotein 1,Cardiometabolic_II
dnaja1,DNAJA1,DnaJ homolog subfamily A member 1,Oncology_II
dnaja2,DNAJA2,DnaJ homolog subfamily A member 2,Inflammation
dnaja4,DNAJA4,DnaJ homolog subfamily A member 4,Neurology_II
dnajb1,DNAJB1,DnaJ homolog subfamily B member 1,Oncology
dnajb14,DNAJB14,DnaJ homolog subfamily B member 14,Oncology_II
dnajb2,DNAJB2,DnaJ homolog subfamily B member 2,Inflammation_II
dnajb6,DNAJB6,DnaJ homolog subfamily B member 6,Inflammation_II
dnajb8,DNAJB8,DnaJ homolog subfamily B member 8,Cardiometabolic
dnajc21,DNAJC21,DnaJ homolog subfamily C member 21,Neurology_II
dnajc6,DNAJC6,Putative tyrosine-protein phosphatase auxilin,Cardiometabolic_II
dnajc9,DNAJC9,DnaJ homolog subfamily C member 9,Oncology_II
dner,DNER,Delta and Notch-like epidermal growth factor-related receptor,Inflammation
dnlz,DNLZ,DNL-type zinc finger protein,Neurology_II
dnm1,DNM1,Dynamin-1,Oncology_II
dnm3,DNM3,Dynamin-3,Neurology_II
dnmbp,DNMBP,Dynamin-binding protein,Neurology
dnpep,DNPEP,Aspartyl aminopeptidase,Neurology_II
dnph1,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,Inflammation
doc2b,DOC2B,Double C2-like domain-containing protein beta,Neurology_II
dock9,DOCK9,Dedicator of cytokinesis protein 9,Neurology_II
dok1,DOK1,Docking protein 1,Neurology_II
dok2,DOK2,Docking protein 2,Cardiometabolic
dpep1,DPEP1,Dipeptidase 1,Neurology
dpep2,DPEP2,Dipeptidase 2,Oncology
dpp10,DPP10,Inactive dipeptidyl peptidase 10,Inflammation
dpp4,DPP4,Dipeptidyl peptidase 4,Cardiometabolic
dpp6,DPP6,Dipeptidyl aminopeptidase-like protein 6,Oncology
dpp7,DPP7,Dipeptidyl peptidase 2,Cardiometabolic
dpt,DPT,Dermatopontin,Cardiometabolic
dpy30,DPY30,Protein dpy-30 homolog,Oncology
draxin,DRAXIN,Draxin,Neurology
