Variable	Protein	Protein_meaning
cfi	CFI	Complement factor I
cfp	CFP	Properdin
cga	CGA	Glycoprotein hormones alpha chain
cgb3_cgb5_cgb8	CGB3_CGB5_CGB8	Choriogonadotropin subunit beta 3
cgn	CGN	Cingulin
cgref1	CGREF1	Cell growth regulator with EF hand domain protein 1
chac2	CHAC2	Glutathione-specific gamma-glutamylcyclotransferase 2
chad	CHAD	Chondroadherin
chchd10	CHCHD10	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial"
chchd6	CHCHD6	MICOS complex subunit MIC25
chek2	CHEK2	Serine/threonine-protein kinase Chk2
chga	CHGA	Chromogranin-A
chgb	CHGB	Secretogranin-1
chi3l1	CHI3L1	Chitinase-3-like protein 1
chit1	CHIT1	Chitotriosidase-1
chl1	CHL1	Neural cell adhesion molecule L1-like protein
chm	CHM	Rab proteins geranylgeranyltransferase component A 1
chmp1a	CHMP1A	Charged multivesicular body protein 1a
chmp6	CHMP6	Charged multivesicular body protein 6
chp1	CHP1	Calcineurin B homologous protein 1
chrdl1	CHRDL1	Chordin-like protein 1
chrdl2	CHRDL2	Chordin-like protein 2
chrm1	CHRM1	Muscarinic acetylcholine receptor M1
ciapin1	CIAPIN1	Anamorsin
cilp	CILP	Cartilage intermediate layer protein 1
cinp	CINP	Cyclin-dependent kinase 2-interacting protein
cirbp	CIRBP	Cold-inducible RNA-binding protein
cit	CIT	Citron Rho-interacting kinase
ckap4	CKAP4	Cytoskeleton-associated protein 4
ckb	CKB	Creatine kinase B-type
ckmt1a_ckmt1b	CKMT1A_CKMT1B	"Creatine kinase U-type, mitochondrial"
clasp1	CLASP1	CLIP-associating protein 1
clc	CLC	Galectin-10
clec10a	CLEC10A	C-type lectin domain family 10 member A
clec11a	CLEC11A	C-type lectin domain family 11 member A
clec12a	CLEC12A	C-type lectin domain family 12 member A
clec14a	CLEC14A	C-type lectin domain family 14 member A
clec1a	CLEC1A	C-type lectin domain family 1 member A
clec1b	CLEC1B	C-type lectin domain family 1 member B
clec2l	CLEC2L	C-type lectin domain family 2 member L
clec3b	CLEC3B	Tetranectin
clec4a	CLEC4A	C-type lectin domain family 4 member A
clec4c	CLEC4C	C-type lectin domain family 4 member C
clec4d	CLEC4D	C-type lectin domain family 4 member D
clec4g	CLEC4G	C-type lectin domain family 4 member G
clec4m	CLEC4M	C-type lectin domain family 4 member M
clec5a	CLEC5A	C-type lectin domain family 5 member A
clec6a	CLEC6A	C-type lectin domain family 6 member A
clec7a	CLEC7A	C-type lectin domain family 7 member A
clgn	CLGN	Calmegin
clic5	CLIC5	Chloride intracellular channel protein 5
clint1	CLINT1	Clathrin interactor 1
clip2	CLIP2	CAP-Gly domain-containing linker protein 2
clmp	CLMP	CXADR-like membrane protein
clns1a	CLNS1A	Methylosome subunit pICln
clpp	CLPP	"ATP-dependent Clp protease proteolytic subunit, mitochondrial"
clps	CLPS	Colipase
clspn	CLSPN	Claspin
clstn1	CLSTN1	Calsyntenin-1
clstn2	CLSTN2	Calsyntenin-2
clstn3	CLSTN3	Calsyntenin-3
clta	CLTA	Clathrin light chain A
clu	CLU	Clusterin
clul1	CLUL1	Clusterin-like protein 1
cmc1	CMC1	COX assembly mitochondrial protein homolog
cmip	CMIP	C-Maf-inducing protein
cndp1	CNDP1	Beta-Ala-His dipeptidase
cngb3	CNGB3	Cyclic nucleotide-gated cation channel beta-3
cnp	CNP	"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
cnpy2	CNPY2	Protein canopy homolog 2
cnpy4	CNPY4	Protein canopy homolog 4
cnst	CNST	Consortin
cntf	CNTF	Ciliary neurotrophic factor
cntn1	CNTN1	Contactin-1
cntn2	CNTN2	Contactin-2
cntn3	CNTN3	Contactin-3
cntn4	CNTN4	Contactin-4
cntn5	CNTN5	Contactin-5
cntnap2	CNTNAP2	Contactin-associated protein-like 2
cntnap4	CNTNAP4	Contactin-associated protein-like 4
coch	COCH	Cochlin
col15a1	COL15A1	Collagen alpha-1(XV) chain
col18a1	COL18A1	Collagen alpha-1(XVIII) chain
col1a1	COL1A1	Collagen alpha-1(I) chain
col24a1	COL24A1	Collagen alpha-1(XXIV) chain
col28a1	COL28A1	Collagen alpha-1(XXVIII) chain
col2a1	COL2A1	Collagen alpha-1(II) chain
col3a1	COL3A1	Collagen alpha-1(III) chain
col4a1	COL4A1	Collagen alpha-1(IV) chain
col4a4	COL4A4	Collagen alpha-4(IV) chain
col5a1	COL5A1	Collagen alpha-1(V) chain
col6a3	COL6A3	Collagen alpha-3(VI) chain
col9a1	COL9A1	Collagen alpha-1(IX) chain
col9a2	COL9A2	Collagen alpha-2(IX) chain
colec12	COLEC12	Collectin-12
commd1	COMMD1	COMM domain-containing protein 1
commd9	COMMD9	COMM domain-containing protein 9
comp	COMP	Cartilage oligomeric matrix protein
comt	COMT	Catechol O-methyltransferase
copb2	COPB2	Coatomer subunit beta'
cope	COPE	Coatomer subunit epsilon
coq7	COQ7	"5-demethoxyubiquinone hydroxylase, mitochondrial"
coro1a	CORO1A	Coronin-1A
coro6	CORO6	Coronin-6
cox5b	COX5B	"Cytochrome c oxidase subunit 5B, mitochondrial"
cox6b1	COX6B1	Cytochrome c oxidase subunit 6B1
cpa1	CPA1	Carboxypeptidase A1
cpa2	CPA2	Carboxypeptidase A2
cpa4	CPA4	Carboxypeptidase A4
cpb1	CPB1	Carboxypeptidase B
cpb2	CPB2	Carboxypeptidase B2
cpe	CPE	Carboxypeptidase E
cplx2	CPLX2	Complexin-2
cpm	CPM	Carboxypeptidase M
cpox	CPOX	"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"
cpped1	CPPED1	Serine/threonine-protein phosphatase CPPED1
cpq	CPQ	Carboxypeptidase Q
cptp	CPTP	Ceramide-1-phosphate transfer protein
cpvl	CPVL	Probable serine carboxypeptidase CPVL
cpxm1	CPXM1	Probable carboxypeptidase X1
cpxm2	CPXM2	Inactive carboxypeptidase-like protein X2
cr1	CR1	Complement receptor type 1
cr2	CR2	Complement receptor type 2
cracr2a	CRACR2A	EF-hand calcium-binding domain-containing protein 4B
cradd	CRADD	Death domain-containing protein CRADD
creb3	CREB3	Cyclic AMP-responsive element-binding protein 3
crebzf	CREBZF	CREB/ATF bZIP transcription factor
creg1	CREG1	Protein CREG1
creld1	CRELD1	Protein disulfide isomerase CRELD1
creld2	CRELD2	Protein disulfide isomerase CRELD2
crh	CRH	Corticoliberin
crhbp	CRHBP	Corticotropin-releasing factor-binding protein
crhr1	CRHR1	Corticotropin-releasing factor receptor 1
crim1	CRIM1	Cysteine-rich motor neuron 1 protein
crip2	CRIP2	Cysteine-rich protein 2
crisp2	CRISP2	Cysteine-rich secretory protein 2
crisp3	CRISP3	Cysteine-rich secretory protein 3
crkl	CRKL	Crk-like protein
crlf1	CRLF1	Cytokine receptor-like factor 1
crnn	CRNN	Cornulin
crtac1	CRTAC1	Cartilage acidic protein 1
crtam	CRTAM	Cytotoxic and regulatory T-cell molecule
crtap	CRTAP	Cartilage-associated protein
crx	CRX	Cone-rod homeobox protein
crybb1	CRYBB1	Beta-crystallin B1
crybb2	CRYBB2	Beta-crystallin B2
crygd	CRYGD	Gamma-crystallin D
crym	CRYM	Ketimine reductase mu-crystallin
cryzl1	CRYZL1	Quinone oxidoreductase-like protein 1
csde1	CSDE1	Cold shock domain-containing protein E1
csf1	CSF1	Macrophage colony-stimulating factor 1
csf1r	CSF1R	Macrophage colony-stimulating factor 1 receptor
csf2	CSF2	Granulocyte-macrophage colony-stimulating factor
csf2ra	CSF2RA	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
csf2rb	CSF2RB	Cytokine receptor common subunit beta
csf3	CSF3	Granulocyte colony-stimulating factor
csf3r	CSF3R	Granulocyte colony-stimulating factor receptor
csh1	CSH1	Chorionic somatomammotropin hormone 1
csnk1d	CSNK1D	Casein kinase I isoform delta
csnk2a1	CSNK2A1	Casein kinase II subunit alpha
cspg4	CSPG4	Chondroitin sulfate proteoglycan 4
cspg5	CSPG5	Chondroitin sulfate proteoglycan 5
csrp3	CSRP3	Cysteine and glycine-rich protein 3
cst1	CST1	Cystatin-SN
cst3	CST3	Cystatin-C
cst5	CST5	Cystatin-D
cst6	CST6	Cystatin-M
cst7	CST7	Cystatin-F
cstb	CSTB	Cystatin-B
ctag1a_ctag1b	CTAG1A_CTAG1B	Cancer/testis antigen 1
ctbs	CTBS	Di-N-acetylchitobiase
ctf1	CTF1	Cardiotrophin-1
cthrc1	CTHRC1	Collagen triple helix repeat-containing protein 1
ctla4	CTLA4	Cytotoxic T-lymphocyte protein 4
ctnna1	CTNNA1	Catenin alpha-1
ctrb1	CTRB1	Chymotrypsinogen B
ctrc	CTRC	Chymotrypsin-C
ctrl	CTRL	Chymotrypsin-like protease CTRL-1
ctsb	CTSB	Cathepsin B
ctsc	CTSC	Dipeptidyl peptidase 1
ctsd	CTSD	Cathepsin D
ctse	CTSE	Cathepsin E
ctsf	CTSF	Cathepsin F
ctsh	CTSH	Pro-cathepsin H
ctsl	CTSL	Cathepsin L1
ctso	CTSO	Cathepsin O
ctss	CTSS	Cathepsin S
ctsv	CTSV	Cathepsin L2
ctsz	CTSZ	Cathepsin Z
cuzd1	CUZD1	CUB and zona pellucida-like domain-containing protein 1
cwc15	CWC15	Spliceosome-associated protein CWC15 homolog
cx3cl1	CX3CL1	Fractalkine
cxadr	CXADR	Coxsackievirus and adenovirus receptor
cxcl1	CXCL1	Growth-regulated alpha protein
cxcl10	CXCL10	C-X-C motif chemokine 10
cxcl11	CXCL11	C-X-C motif chemokine 11
cxcl12	CXCL12	Stromal cell-derived factor 1
cxcl13	CXCL13	C-X-C motif chemokine 13
cxcl14	CXCL14	C-X-C motif chemokine 14
cxcl16	CXCL16	C-X-C motif chemokine 16
cxcl17	CXCL17	C-X-C motif chemokine 17
cxcl3	CXCL3	C-X-C motif chemokine 3
cxcl5	CXCL5	C-X-C motif chemokine 5
cxcl6	CXCL6	C-X-C motif chemokine 6
cxcl8	CXCL8	Interleukin-8
cxcl9	CXCL9	C-X-C motif chemokine 9
cyb5a	CYB5A	Cytochrome b5
cyb5r2	CYB5R2	NADH-cytochrome b5 reductase 2
cyp24a1	CYP24A1	"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"
cyth3	CYTH3	Cytohesin-3
cytl1	CYTL1	Cytokine-like protein 1
daam1	DAAM1	Disheveled-associated activator of morphogenesis 1
dab2	DAB2	Disabled homolog 2
dag1	DAG1	Dystroglycan
dand5	DAND5	DAN domain family member 5
dapk2	DAPK2	Death-associated protein kinase 2
dapp1	DAPP1	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
dars1	DARS1	"Aspartate--tRNA ligase, cytoplasmic"
dbh	DBH	Dopamine beta-hydroxylase
dbi	DBI	Acyl-CoA-binding protein
dbn1	DBN1	Drebrin
dbnl	DBNL	Drebrin-like protein
dcbld2	DCBLD2	"Discoidin, CUB and LCCL domain-containing protein 2"
dcc	DCC	Netrin receptor DCC
dcdc2c	DCDC2C	Doublecortin domain-containing protein 2C
dclre1c	DCLRE1C	Protein artemis
dcn	DCN	Decorin
dctd	DCTD	Deoxycytidylate deaminase
dctn1	DCTN1	Dynactin subunit 1
dctn2	DCTN2	Dynactin subunit 2
dctn6	DCTN6	Dynactin subunit 6
dctpp1	DCTPP1	dCTP pyrophosphatase 1
dcun1d1	DCUN1D1	DCN1-like protein 1
dcun1d2	DCUN1D2	DCN1-like protein 2
dcxr	DCXR	L-xylulose reductase
dda1	DDA1	DET1- and DDB1-associated protein 1
ddah1	DDAH1	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
ddc	DDC	Aromatic-L-amino-acid decarboxylase
ddhd2	DDHD2	Phospholipase DDHD2
ddi2	DDI2	Protein DDI1 homolog 2
ddr1	DDR1	Epithelial discoidin domain-containing receptor 1
ddt	DDT	D-dopachrome decarboxylase
ddx1	DDX1	ATP-dependent RNA helicase DDX1
ddx25	DDX25	ATP-dependent RNA helicase DDX25
ddx39a	DDX39A	ATP-dependent RNA helicase DDX39A
ddx4	DDX4	Probable ATP-dependent RNA helicase DDX4
ddx53	DDX53	Probable ATP-dependent RNA helicase DDX53
ddx58	DDX58	Antiviral innate immune response receptor RIG-I
decr1	DECR1	"2,4-dienoyl-CoA reductase, mitochondrial"
defa1_defa1b	DEFA1_DEFA1B	Neutrophil defensin 1
defb103a_defb103b	DEFB103A_DEFB103B	Beta-defensin 103
defb104a_defb104b	DEFB104A_DEFB104B	Beta-defensin 104
defb116	DEFB116	Beta-defensin 116
defb118	DEFB118	Beta-defensin 118
defb4a_defb4b	DEFB4A_DEFB4B	Beta-defensin 4A
dennd2b	DENND2B	DENN domain-containing protein 2B
denr	DENR	Density-regulated protein
dffa	DFFA	DNA fragmentation factor subunit alpha
dgcr6	DGCR6	Protein DGCR6
dgka	DGKA	Diacylglycerol kinase alpha
dgkz	DGKZ	Diacylglycerol kinase zeta
dhodh	DHODH	Dihydroorotate dehydrogenase
dhps	DHPS	Deoxyhypusine synthase
dhrs4l2	DHRS4L2	Dehydrogenase/reductase SDR family member 4-like 2
diablo	DIABLO	"Diablo homolog, mitochondrial"
dipk1c	DIPK1C	Divergent protein kinase domain 1C
dipk2b	DIPK2B	Divergent protein kinase domain 2B
dkk1	DKK1	Dickkopf-related protein 1
dkk3	DKK3	Dickkopf-related protein 3
dkk4	DKK4	Dickkopf-related protein 4
dkkl1	DKKL1	Dickkopf-like protein 1
dlg4	DLG4	Disks large homolog 4
dlgap5	DLGAP5	Disks large-associated protein 5
dlk1	DLK1	Protein delta homolog 1
dll1	DLL1	Delta-like protein 1
dll4	DLL4	Delta-like protein 4
dmd	DMD	Dystrophin
dmp1	DMP1	Dentin matrix acidic phosphoprotein 1
dnaja1	DNAJA1	DnaJ homolog subfamily A member 1
dnaja2	DNAJA2	DnaJ homolog subfamily A member 2
dnaja4	DNAJA4	DnaJ homolog subfamily A member 4
dnajb1	DNAJB1	DnaJ homolog subfamily B member 1
dnajb14	DNAJB14	DnaJ homolog subfamily B member 14
dnajb2	DNAJB2	DnaJ homolog subfamily B member 2
dnajb6	DNAJB6	DnaJ homolog subfamily B member 6
dnajb8	DNAJB8	DnaJ homolog subfamily B member 8
dnajc21	DNAJC21	DnaJ homolog subfamily C member 21
dnajc6	DNAJC6	Putative tyrosine-protein phosphatase auxilin
dnajc9	DNAJC9	DnaJ homolog subfamily C member 9
dner	DNER	Delta and Notch-like epidermal growth factor-related receptor
dnlz	DNLZ	DNL-type zinc finger protein
dnm1	DNM1	Dynamin-1
dnm3	DNM3	Dynamin-3
dnmbp	DNMBP	Dynamin-binding protein
dnpep	DNPEP	Aspartyl aminopeptidase
dnph1	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
doc2b	DOC2B	Double C2-like domain-containing protein beta
dock9	DOCK9	Dedicator of cytokinesis protein 9
dok1	DOK1	Docking protein 1
dok2	DOK2	Docking protein 2
dpep1	DPEP1	Dipeptidase 1
dpep2	DPEP2	Dipeptidase 2
dpp10	DPP10	Inactive dipeptidyl peptidase 10
dpp4	DPP4	Dipeptidyl peptidase 4
dpp6	DPP6	Dipeptidyl aminopeptidase-like protein 6
dpp7	DPP7	Dipeptidyl peptidase 2
dpt	DPT	Dermatopontin
dpy30	DPY30	Protein dpy-30 homolog
draxin	DRAXIN	Draxin
drg2	DRG2	Developmentally-regulated GTP-binding protein 2
dsc2	DSC2	Desmocollin-2
dscam	DSCAM	Down syndrome cell adhesion molecule
dsg2	DSG2	Desmoglein-2
dsg3	DSG3	Desmoglein-3
dsg4	DSG4	Desmoglein-4
dtd1	DTD1	D-aminoacyl-tRNA deacylase 1
dtnb	DTNB	Dystrobrevin beta
dtx2	DTX2	Probable E3 ubiquitin-protein ligase DTX2
dtx3	DTX3	Probable E3 ubiquitin-protein ligase DTX3
dtymk	DTYMK	Thymidylate kinase
duox2	DUOX2	Dual oxidase 2
dusp13	DUSP13	Dual specificity protein phosphatase 13 isoform A
dusp29	DUSP29	Dual specificity phosphatase 29
dusp3	DUSP3	Dual specificity protein phosphatase 3
dut	DUT	"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
dxo	DXO	Decapping and exoribonuclease protein
dync1h1	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1
dynlt1	DYNLT1	Dynein light chain Tctex-type 1
dynlt3	DYNLT3	Dynein light chain Tctex-type 3
ebag9	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells
ebi3_il27	EBI3_IL27	Interleukin-27
ece1	ECE1	Endothelin-converting enzyme 1
echdc3	ECHDC3	"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial"
echs1	ECHS1	"Enoyl-CoA hydratase, mitochondrial"
eci2	ECI2	Enoyl-CoA delta isomerase 2
ecm1	ECM1	Extracellular matrix protein 1
ecscr	ECSCR	Endothelial cell-specific chemotaxis regulator
eda2r	EDA2R	Tumor necrosis factor receptor superfamily member 27
edar	EDAR	Tumor necrosis factor receptor superfamily member EDAR
eddm3b	EDDM3B	Epididymal secretory protein E3-beta
edem2	EDEM2	ER degradation-enhancing alpha-mannosidase-like protein 2
edf1	EDF1	Endothelial differentiation-related factor 1
edil3	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3
edn1	EDN1	Endothelin-1
ednrb	EDNRB	Endothelin receptor type B
eef1d	EEF1D	Elongation factor 1-delta
efcab14	EFCAB14	EF-hand calcium-binding domain-containing protein 14
efcab2	EFCAB2	Dynein regulatory complex protein 8
efemp1	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
efhd1	EFHD1	EF-hand domain-containing protein D1
efna1	EFNA1	Ephrin-A1
efna4	EFNA4	Ephrin-A4
efnb2	EFNB2	Ephrin-B2
egf	EGF	Pro-epidermal growth factor
egfl7	EGFL7	Epidermal growth factor-like protein 7
egflam	EGFLAM	Pikachurin
egfr	EGFR	Epidermal growth factor receptor
egln1	EGLN1	Egl nine homolog 1
ehbp1	EHBP1	EH domain-binding protein 1
ehd3	EHD3	EH domain-containing protein 3
eif1ax	EIF1AX	"Eukaryotic translation initiation factor 1A, X-chromosomal"
eif2ak2	EIF2AK2	"Interferon-induced, double-stranded RNA-activated protein kinase"
eif2ak3	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3
eif2s2	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2
eif4b	EIF4B	Eukaryotic translation initiation factor 4B
eif4e	EIF4E	Eukaryotic translation initiation factor 4E
eif4ebp1	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1
eif4g1	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1
eif4g3	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3
eif5	EIF5	Eukaryotic translation initiation factor 5
eif5a	EIF5A	Eukaryotic translation initiation factor 5A-1
elac1	ELAC1	Zinc phosphodiesterase ELAC protein 1
elavl4	ELAVL4	ELAV-like protein 4
eln	ELN	Elastin
eloa	ELOA	Elongin-A
elob	ELOB	Elongin-B
enah	ENAH	Protein enabled homolog
endou	ENDOU	Poly(U)-specific endoribonuclease
eng	ENG	Endoglin
eno1	ENO1	Alpha-enolase
eno2	ENO2	Gamma-enolase
eno3	ENO3	Beta-enolase
enoph1	ENOPH1	Enolase-phosphatase E1
enox2	ENOX2	Ecto-NOX disulfide-thiol exchanger 2
enpep	ENPEP	Glutamyl aminopeptidase
enpp2	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
enpp5	ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
enpp6	ENPP6	Glycerophosphocholine cholinephosphodiesterase ENPP6
enpp7	ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
ensa	ENSA	Alpha-endosulfine
entpd2	ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2
entpd5	ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5
entpd6	ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6
entr1	ENTR1	Endosome-associated-trafficking regulator 1
ep300	EP300	Histone acetyltransferase p300
epb41l5	EPB41L5	Band 4.1-like protein 5
epcam	EPCAM	Epithelial cell adhesion molecule
epgn	EPGN	Epigen
epha1	EPHA1	Ephrin type-A receptor 1
epha10	EPHA10	Ephrin type-A receptor 10
epha2	EPHA2	Ephrin type-A receptor 2
epha4	EPHA4	Ephrin type-A receptor 4
ephb4	EPHB4	Ephrin type-B receptor 4
ephb6	EPHB6	Ephrin type-B receptor 6
ephx2	EPHX2	Bifunctional epoxide hydrolase 2
epn1	EPN1	Epsin-1
epo	EPO	Erythropoietin
eppk1	EPPK1	Epiplakin
eps8l2	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2
erbb2	ERBB2	Receptor tyrosine-protein kinase erbB-2
erbb3	ERBB3	Receptor tyrosine-protein kinase erbB-3
erbb4	ERBB4	Receptor tyrosine-protein kinase erbB-4
erbin	ERBIN	Erbin
erc2	ERC2	ERC protein 2
ercc1	ERCC1	DNA excision repair protein ERCC-1
ereg	EREG	Proepiregulin
eri1	ERI1	3'-5' exoribonuclease 1
ermap	ERMAP	Erythroid membrane-associated protein
ern1	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1
erp29	ERP29	Endoplasmic reticulum resident protein 29
erp44	ERP44	Endoplasmic reticulum resident protein 44
ervv_1	ERVV-1	Endogenous retrovirus group V member 1 Env polyprotein
esam	ESAM	Endothelial cell-selective adhesion molecule
esm1	ESM1	Endothelial cell-specific molecule 1
espl1	ESPL1	Separin
esr1	ESR1	Estrogen receptor
esyt2	ESYT2	Extended synaptotagmin-2
evi2b	EVI2B	Protein EVI2B
evi5	EVI5	Ecotropic viral integration site 5 protein homolog
evpl	EVPL	Envoplakin
exosc10	EXOSC10	Exosome component 10
extl1	EXTL1	Exostosin-like 1
ezr	EZR	Ezrin
f10	F10	Coagulation factor X
f11	F11	Coagulation factor XI
f11r	F11R	Junctional adhesion molecule A
f12	F12	Coagulation factor XII
f13b	F13B	Coagulation factor XIII B chain
f2	F2	Prothrombin
f2r	F2R	Proteinase-activated receptor 1
f3	F3	Tissue factor
f7	F7	Coagulation factor VII
f9	F9	Coagulation factor IX
fabp1	FABP1	"Fatty acid-binding protein, liver"
fabp2	FABP2	"Fatty acid-binding protein, intestinal"
fabp3	FABP3	"Fatty acid-binding protein, heart"
fabp4	FABP4	"Fatty acid-binding protein, adipocyte"
fabp5	FABP5	Fatty acid-binding protein 5
fabp6	FABP6	Gastrotropin
fabp9	FABP9	Fatty acid-binding protein 9
fadd	FADD	FAS-associated death domain protein
fam13a	FAM13A	Protein FAM13A
fam171a2	FAM171A2	Protein FAM171A2
fam171b	FAM171B	Protein FAM171B
fam172a	FAM172A	Cotranscriptional regulator FAM172A
fam20a	FAM20A	Pseudokinase FAM20A
fam3b	FAM3B	Protein FAM3B
fam3c	FAM3C	Protein FAM3C
fam3d	FAM3D	Protein FAM3D
fap	FAP	Prolyl endopeptidase FAP
farsa	FARSA	Phenylalanine--tRNA ligase alpha subunit
fas	FAS	Tumor necrosis factor receptor superfamily member 6
faslg	FASLG	Tumor necrosis factor ligand superfamily member 6
fbln2	FBLN2	Fibulin-2
fbn2	FBN2	Fibrillin-2
fbp1	FBP1	"Fructose-1,6-bisphosphatase 1"
fcamr	FCAMR	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
fcar	FCAR	Immunoglobulin alpha Fc receptor
fcer1a	FCER1A	High affinity immunoglobulin epsilon receptor subunit alpha
fcer2	FCER2	Low affinity immunoglobulin epsilon Fc receptor
fcgr2a	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a
fcgr2b	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b
fcgr3b	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B
fcn1	FCN1	Ficolin-1
fcn2	FCN2	Ficolin-2
fcrl1	FCRL1	Fc receptor-like protein 1
fcrl2	FCRL2	Fc receptor-like protein 2
fcrl3	FCRL3	Fc receptor-like protein 3
fcrl5	FCRL5	Fc receptor-like protein 5
fcrl6	FCRL6	Fc receptor-like protein 6
fcrlb	FCRLB	Fc receptor-like B
fdx1	FDX1	"Adrenodoxin, mitochondrial"
fdx2	FDX2	"Ferredoxin-2, mitochondrial"
fen1	FEN1	Flap endonuclease 1
fes	FES	Tyrosine-protein kinase Fes/Fps
fetub	FETUB	Fetuin-B
fga	FGA	Fibrinogen alpha chain
fgd3	FGD3	"FYVE, RhoGEF and PH domain-containing protein 3"
fgf12	FGF12	Fibroblast growth factor 12
fgf16	FGF16	Fibroblast growth factor 16
fgf19	FGF19	Fibroblast growth factor 19
fgf2	FGF2	Fibroblast growth factor 2
fgf20	FGF20	Fibroblast growth factor 20
fgf21	FGF21	Fibroblast growth factor 21
fgf23	FGF23	Fibroblast growth factor 23
fgf3	FGF3	Fibroblast growth factor 3
fgf5	FGF5	Fibroblast growth factor 5
fgf6	FGF6	Fibroblast growth factor 6
fgf7	FGF7	Fibroblast growth factor 7
fgf9	FGF9	Fibroblast growth factor 9
fgfbp1	FGFBP1	Fibroblast growth factor-binding protein 1
fgfbp2	FGFBP2	Fibroblast growth factor-binding protein 2
fgfbp3	FGFBP3	Fibroblast growth factor-binding protein 3
fgfr2	FGFR2	Fibroblast growth factor receptor 2
fgfr4	FGFR4	Fibroblast growth factor receptor 4
fgl1	FGL1	Fibrinogen-like protein 1
fgr	FGR	Tyrosine-protein kinase Fgr
fh	FH	"Fumarate hydratase, mitochondrial"
fhip2a	FHIP2A	FHF complex subunit HOOK interacting protein 2A
fhit	FHIT	Bis(5'-adenosyl)-triphosphatase
fis1	FIS1	Mitochondrial fission 1 protein
fkbp14	FKBP14	Peptidyl-prolyl cis-trans isomerase FKBP14
fkbp1b	FKBP1B	Peptidyl-prolyl cis-trans isomerase FKBP1B
fkbp4	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4
fkbp5	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5
fkbp7	FKBP7	Peptidyl-prolyl cis-trans isomerase FKBP7
fkbpl	FKBPL	FK506-binding protein-like
fli1	FLI1	Friend leukemia integration 1 transcription factor
flrt2	FLRT2	Leucine-rich repeat transmembrane protein FLRT2
flt1	FLT1	Vascular endothelial growth factor receptor 1
flt3	FLT3	Receptor-type tyrosine-protein kinase FLT3
flt3lg	FLT3LG	Fms-related tyrosine kinase 3 ligand
flt4	FLT4	Vascular endothelial growth factor receptor 3
fmnl1	FMNL1	Formin-like protein 1
fmr1	FMR1	Synaptic functional regulator FMR1
fn1	FN1	Fibronectin
fndc1	FNDC1	Fibronectin type III domain-containing protein 1
fnta	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
folh1	FOLH1	Glutamate carboxypeptidase 2
folr1	FOLR1	Folate receptor alpha
folr2	FOLR2	Folate receptor beta
folr3	FOLR3	Folate receptor gamma
fos	FOS	Proto-oncogene c-Fos
fosb	FOSB	Protein fosB
foxj3	FOXJ3	Forkhead box protein J3
foxo1	FOXO1	Forkhead box protein O1
foxo3	FOXO3	Forkhead box protein O3
frmd4b	FRMD4B	FERM domain-containing protein 4B
frmd7	FRMD7	FERM domain-containing protein 7
frzb	FRZB	Secreted frizzled-related protein 3
fshb	FSHB	Follitropin subunit beta
fst	FST	Follistatin
fstl1	FSTL1	Follistatin-related protein 1
fstl3	FSTL3	Follistatin-related protein 3
ftcd	FTCD	Formimidoyltransferase-cyclodeaminase
fuca1	FUCA1	Tissue alpha-L-fucosidase
fuom	FUOM	Fucose mutarotase
furin	FURIN	Furin
fus	FUS	RNA-binding protein FUS
fut1	FUT1	"Galactoside alpha-(1,2)-fucosyltransferase 1"
